song_id,song_name,id_artists,name_artists,popularity,explicit,song_type,track_number,num_artists,num_available_markets,release_date,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
1ChPiAIS5RGNUQY4ohyfXG,God is a woman,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],46,FALSE,Solo,5,1,30,8/17/18,197547,1,1,4,0.0233,0.602,0.658,0.0000578,0.229,-5.947,0.055,0.28,145.084
5sT3app9Wcu4FAGnNs9oZR,sweetener,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],40,FALSE,Solo,6,1,30,8/17/18,208493,4,1,4,0.256,0.722,0.461,0,0.214,-6.428,0.0319,0.464,119.91
6NPK12AruoBw2PPBQuku95,successful,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],37,FALSE,Solo,7,1,30,8/17/18,227387,0,0,4,0.107,0.848,0.601,0.00000775,0.108,-4.606,0.0399,0.737,114.045
7sPbp28sThpD4opAhQsMTx,everytime,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],39,FALSE,Solo,8,1,30,8/17/18,172107,10,0,4,0.191,0.711,0.612,0,0.0974,-6.757,0.0437,0.658,148.157
4vlnIIEJCooktVkmXtpjgZ,breathin,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],45,FALSE,Solo,9,1,30,8/17/18,198160,8,1,4,0.0232,0.378,0.646,0.0000104,0.0941,-5.411,0.0594,0.417,100.072
4wZqeCVR3fwS5MFoRtAnia,no tears left to cry,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],39,FALSE,Solo,10,1,30,8/17/18,205920,0,1,4,0.04,0.701,0.713,0.00000314,0.267,-5.507,0.0547,0.361,121.934
3bcNXYA4kZYCNNNnLkAgKU,borderline (feat. Missy Elliott),"['66CXWjxzNUsdJxJ2JdwvnR', '2wIVse2owClT7go1WT98tk']","['Ariana Grande', 'Missy Elliott']",34,FALSE,Collaboration,11,2,30,8/17/18,177533,6,0,4,0.0575,0.761,0.818,0,0.11,-5.24,0.106,0.346,110.98
7qWNz2bGSyULFLGMFqmjY8,better off,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],37,FALSE,Solo,12,1,30,8/17/18,171333,11,1,4,0.167,0.592,0.542,0,0.139,-7.374,0.073,0.0576,91.767
0Tf9Mwk7DwysEajSNGa8n2,goodnight n go,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],39,FALSE,Solo,13,1,30,8/17/18,189507,1,1,4,0.0213,0.694,0.453,0,0.0795,-7.069,0.0397,0.24,110.909
02Qo5DFgoGTiBGo4ZUvjXm,pete davidson,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],36,FALSE,Solo,14,1,30,8/17/18,73813,4,1,4,0.429,0.654,0.312,0.00000859,0.19,-10.212,0.0508,0.304,119.9
6euozmIGRL6aVin2ksJEJ2,get well soon,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],36,FALSE,Solo,15,1,30,8/17/18,322027,9,0,4,0.651,0.604,0.45,0,0.0934,-6.564,0.0354,0.531,100.347
1TuSAhOzTqoFf7BZxBl6nz,imagine,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],42,FALSE,Solo,1,1,24,2/7/18,212267,8,1,3,0.347,0.727,0.48,0,0.108,-4.929,0.0434,0.363,62.574
2hLYQ60kR5lpf86EZwed8T,needy,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],41,FALSE,Solo,2,1,24,2/7/18,171573,7,0,4,0.808,0.638,0.315,0.0000108,0.211,-8.061,0.0323,0.202,87.012
4SPu0Ql902hTVXkBoNIYtq,NASA,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],60,FALSE,Solo,3,1,24,2/7/18,182000,6,1,4,0.447,0.737,0.461,0,0.268,-6.887,0.293,0.481,75.005
2bHfFzMY457XUjTX3eMtsj,bloodline,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],42,FALSE,Solo,4,1,24,2/7/18,216893,9,0,4,0.0701,0.761,0.654,0.000102,0.208,-5.191,0.0923,0.633,75.987
2XaEbkNGsthliktfSsXYsH,fake smile,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],40,FALSE,Solo,5,1,24,2/7/18,208880,9,1,4,0.361,0.438,0.629,0,0.315,-7.445,0.397,0.407,78.378
7EQpvVujgytLVY8vKiDHAg,bad idea,['66CXWjxzNUsdJxJ2JdwvnR'],['Ariana Grande'],53,FALSE,Solo,6,1,24,2/7/18,267107,1,1,4,0.0276,0.847,0.58,0.0548,0.1,-5.316,0.0723,0.575,137.995
